DateTime,AddedIPs,RemovedIPs
1527694100,10,9
1527696108,8,9
1527698220,7,10
1527700031,3,4
1527702016,7,4
1527703943,13,3
1527705863,5,3
1527707779,5,2
1527709725,0,3
1527711621,2,6
1527713538,5,2
1527715462,1,3
1527717379,2,4
1527719297,2,4
1527721320,4,4
1527723181,2,3
1527725072,7,3
1527726990,4,6
1527728915,1,6
1527730830,3,4
1527732754,5,6
1527734688,1,6
1527736588,4,8
1527738511,3,5
1527740431,5,81
1527742364,2,2
1527744275,3,10
1527746199,4,7
1527748145,2,9
1527750102,5,9
1527751960,2,10
1527753888,4,16
1527755799,6,13
1527757716,5,15
1527759631,1,7
1527761566,6,15
1527763503,9,16
1527765393,6,10
1527767313,5,7
1527769255,7,12
1527771171,7,5
1527773069,10,10
1527774992,5,5
1527776905,3,11
1527778912,8,10
1527780794,6,10
1527782672,2,7
1527784633,2,7
1527786545,4,4
1527788469,2,16
1527790504,5,23
1527792315,6,7
1527794186,1,6
1527796143,5,0
1527798026,5,3
1527799962,4,5
1527801881,1,2
1527803801,1,2
1527806011,1,2
1527807879,4,2
1527809828,1,3
1527811719,4,5
1527813636,3,6
1527815566,1,2
1527817506,7,1
1527819397,5,2
1527821335,8,1
1527823232,20,1
1527825174,8,2
1527827080,9,3
1527829020,9,2
1527830916,13,4
1527832908,3,4
1527834779,11,1
1527836678,5,5
1527838611,8,6
1527840530,11,8
1527842460,6,3
1527844372,8,3
1527846319,8,1
1527848197,11,8
1527850119,5,8
1527852049,5,5
1527853957,8,5
1527855877,4,9
1527857843,4,9
1527859711,4,8
1527861707,3,6
1527863574,18,5
1527865477,3,5
1527867414,5,8
1527869354,5,5
1527871237,9,2
1527873095,9,2
1527875071,2,2
1527876981,5,8
1527878919,8,5
1527880820,5,2
1527882742,6,4
1527884681,5,4
1527886584,1,5
1527888500,6,2
1527890550,7,1
1527894179,11,4
1527896172,2,2
1527898403,7,3
1527900310,4,2
1527902247,4,3
1527904150,8,3
1527906080,4,4
1527907995,13,9
1527909925,12,18
1527911826,14,7
1527914423,17,11
1527916448,22,8
1527918689,5,8
1527921145,7,16
1527923335,3,6
1527926036,0,37
1527928528,7,7
1527930871,9,10
1527933083,31,8
1527935225,11,10
1527937881,4,11
1527940243,8,7
1527942653,5,6
1527944977,0,3
1527947220,6,4
1527951401,12,24
1527953730,4,4
1527956417,5,9
1527958705,5,12
1527961206,8,8
1527963573,1,5
1527965975,2,8
1527968429,7,8
1527970750,3,8
1527984246,23,30
1527986651,8,4
1527991410,6,12
1527993831,13,10
1527996232,11,17
1527998622,3,18
1528001090,4,9
1528005413,16,27
1528007369,5,6
1528009332,7,4
1528011147,9,5
1528013066,4,8
1528014998,4,4
1528016904,5,5
1528018847,11,8
1528020748,3,4
