DateTime,AddedIPs,RemovedIPs
1527655480,1,0
1527657379,1,0
1527661222,1,1
1527665082,0,2
1527668898,3,0
1527670899,2,6
1527672756,1,0
1527674688,1,0
1527676588,0,3
1527678499,1,1
1527682580,0,2
1527684495,2,1
1527686422,1,2
1527690264,1,0
1527694101,1,0
1527696110,1,1
1527698221,0,1
1527700033,2,2
1527703945,1,0
1527705865,2,1
1527707780,0,2
1527709727,1,0
1527711623,0,2
1527713539,1,0
1527715464,1,2
1527719299,1,1
1527723183,0,1
1527725073,1,4
1527730832,1,4
1527732756,0,2
1527734689,1,2
1527736589,1,1
1527738513,2,1
1527740432,0,2
1527742365,1,1
1527744277,0,1
1527746201,1,1
1527748147,4,0
1527750104,2,0
1527753889,2,0
1527755800,1,4
1527759633,2,2
1527761568,2,0
1527763505,1,0
1527765395,2,1
1527767315,1,0
1527769257,1,0
1527771173,0,2
1527773071,3,1
1527774994,2,0
1527776907,0,2
1527778913,4,2
1527780795,1,0
1527782673,2,1
1527786546,0,2
1527788471,1,1
1527790506,0,1
1527792317,1,1
1527796145,1,1
1527799964,0,1
1527801882,4,1
1527803803,1,2
1527806013,2,1
1527807880,1,0
1527809829,2,0
1527811720,1,1
1527817507,0,1
1527821336,0,1
1527823233,1,1
1527825175,0,2
1527829022,0,1
1527832909,1,1
1527834780,0,4
1527836679,0,2
1527840531,0,2
1527842461,2,1
1527844373,1,0
1527846320,2,3
1527848198,2,1
1527850120,3,1
1527852050,0,2
1527853958,0,1
1527855878,1,2
1527859712,3,2
1527861708,1,2
1527863575,1,1
1527865478,2,3
1527867415,1,1
1527869355,1,2
1527873097,0,1
1527876983,1,0
1527878920,0,1
1527882743,1,1
1527886585,1,0
1527888501,1,4
1527890552,3,1
1527894181,0,3
1527896173,1,2
1527898405,1,0
1527902249,2,0
1527906082,1,1
1527909927,0,1
1527916449,1,0
1527918690,0,0
1527921147,1,1
1527923338,0,0
1527926038,0,0
1527933084,0,5
1527935226,1,2
1527937882,0,3
1527940244,2,0
1527942655,0,0
1527944979,2,3
1527947222,1,3
1527951403,1,2
1527956419,2,2
1527958707,0,0
1527961207,0,0
1527965977,1,1
1527968430,2,1
1527984248,2,7
1527991411,1,2
1527993832,0,1
1527996233,1,0
1527998624,0,0
1528005414,4,1
1528007370,0,1
1528009333,1,0
1528013067,2,0
1528014999,1,0
1528016905,1,0
1528018848,2,0
1528020748,1,1
