DateTime,Entries,UniqueIPs
1527144964,6152,6152
1527150964,6183,6183
1527152883,6200,6200
1527156724,6194,6194
1527162483,6194,6194
1527170164,6228,6228
1527175925,6234,6234
1527179764,6252,6252
1527181688,6242,6242
1527189604,6287,6287
1527195364,6270,6270
1527202323,6241,6241
1527206164,6209,6209
1527210483,6156,6156
1527214324,6150,6150
1527220082,6132,6132
1527227763,6159,6159
1527235442,6180,6180
1527243123,6174,6174
1527250814,6201,6201
1527253444,6200,6200
1527261364,6194,6194
1527265449,6192,6192
1527271220,6210,6210
1527278884,6223,6223
1527286563,6208,6208
1527288483,6208,6208
1527291851,6208,6208
1527296421,6143,6143
1527298566,6137,6137
1527298566,6137,6137
1527301445,6155,6155
1527301445,6155,6155
1527303846,6155,6155
1527303846,6155,6155
1527306247,6139,6139
1527306247,6139,6139
1527308886,6098,6098
1527308886,6098,6098
1527311768,6098,6098
1527311768,6098,6098
1527314886,6098,6098
1527314886,6098,6098
1527317046,6123,6123
1527317046,6123,6123
1527318966,6123,6123
1527318966,6123,6123
1527321366,6161,6161
1527321366,6161,6161
1527323526,6161,6161
1527323526,6161,6161
1527325927,6161,6161
1527325927,6161,6161
1527327847,6192,6192
1527327847,6192,6192
1527330486,6192,6192
1527330486,6192,6192
1527332648,6192,6192
1527332648,6192,6192
1527335046,6201,6201
1527335046,6201,6201
1527337465,6194,6194
1527337465,6194,6194
1527339846,6194,6194
1527339846,6194,6194
1527342007,6194,6194
1527342007,6194,6194
1527344168,6195,6195
1527344168,6195,6195
1527347046,6195,6195
1527348968,6195,6195
1527351368,6213,6213
1527353287,6213,6213
1527353287,6213,6213
1527355939,6213,6213
1527355939,6213,6213
1527358566,6219,6219
1527360486,6219,6219
1527360486,6219,6219
1527363127,6219,6219
1527363127,6219,6219
1527365767,6228,6228
1527365767,6228,6228
1527368650,6228,6228
1527368650,6228,6228
1527371766,6211,6211
1527371766,6211,6211
1527374407,6171,6171
1527374407,6171,6171
1527377766,6171,6171
1527377766,6171,6171
1527380408,6187,6187
1527380408,6187,6187
1527383046,6187,6187
1527383046,6187,6187
1527386165,6163,6163
1527386165,6163,6163
1527388566,6163,6163
1527388566,6163,6163
1527391208,6154,6154
1527391208,6154,6154
1527393366,6154,6154
1527393366,6154,6154
1527395529,6154,6154
1527395529,6154,6154
1527397446,6111,6111
1527397446,6111,6111
1527399608,6111,6111
1527403446,6148,6148
1527409203,6154,6154
1527417844,6182,6182
1527421682,6186,6186
1527429363,6210,6210
1527435124,6201,6201
1527437042,6203,6203
1527440882,6212,6212
1527444722,6228,6228
1527452402,6222,6222
1527456244,6218,6218
1527462723,6209,6209
1527464884,6158,6158
1527472563,6131,6131
1527478323,6118,6118
1527484082,6092,6092
1527492003,6145,6145
1527495843,6147,6147
1527502563,6147,6147
1527506403,6154,6154
1527510244,6181,6181
1527516015,6190,6190
1527517923,6188,6188
1527523683,6215,6215
1527529443,6226,6226
1527537124,6212,6212
1527541686,6205,6205
1527547443,6128,6128
1527553204,6122,6122
1527560882,6114,6114
1527564723,6093,6093
1527572404,6107,6107
1527579123,6117,6117
1527582963,6119,6119
1527586803,6115,6115
1527594482,6137,6137
1527598323,6130,6130
1527600243,6151,6151
1527606963,6163,6163
1527613445,6176,6176
1527615364,6171,6171
1527623043,6228,6228
1527628803,6216,6216
1527632642,6184,6184
1527638422,6154,6154
1527644164,6120,6120
1527649923,6106,6106
1527655683,6094,6094
1527661444,6105,6105
1527665283,6109,6109
1527669124,6120,6120
1527672964,6121,6121
1527676804,6144,6144
1527680884,6153,6153
1527682814,6129,6129
1527686644,6165,6165
1527694323,6169,6169
1527696244,6192,6192
1527704163,6189,6189
1527709922,6207,6207
1527718563,6192,6192
1527724322,6158,6158
1527732243,6092,6092
1527738004,6088,6088
1527741842,6079,6079
1527751443,6105,6105
1527753363,6101,6101
1527760083,6110,6110
1527762004,6112,6112
1527768723,6145,6145
1527776402,6167,6167
1527782644,6164,6164
1527786484,6172,6172
1527792243,6191,6191
1527801844,6194,6194
1527805684,6173,6173
1527809764,6161,6161
1527817443,6194,6194
1527827044,6169,6169
1527830882,6154,6154
1527834722,6176,6176
1527838564,6191,6191
1527840483,6219,6219
1527846243,6219,6219
1527850082,6207,6207
1527852003,6220,6220
1527855842,6223,6223
1527859683,6223,6223
1527865443,6247,6247
1527873363,6266,6266
1527879123,6264,6264
1527884882,6278,6278
1527889682,6248,6248
1527896405,6218,6218
1527904083,6195,6195
1527906004,6212,6212
1527911764,6175,6175
1527911764,6175,6175
1527914888,6175,6175
1527917051,6175,6175
1527923768,6207,6207
1527923768,6207,6207
1527926420,6207,6207
1527926420,6207,6207
1527929051,6219,6219
1527929051,6219,6219
1527931208,6219,6219
1527931208,6219,6219
1527934573,6232,6232
1527934573,6232,6232
1527937219,6232,6232
1527937219,6232,6232
1527939367,6232,6232
1527942034,6262,6262
1527942034,6262,6262
1527944167,6262,6262
1527944167,6262,6262
1527946567,6262,6262
1527946567,6262,6262
1527948489,6287,6287
1527948489,6287,6287
1527950648,6287,6287
1527950648,6287,6287
1527953048,6288,6288
1527953048,6288,6288
1527955448,6288,6288
1527955448,6288,6288
1527958088,6288,6288
1527958088,6288,6288
1527960487,6275,6275
1527960487,6275,6275
1527962889,6275,6275
1527962889,6275,6275
1527965287,6279,6279
1527965287,6279,6279
1527967687,6279,6279
1527967687,6279,6279
1527970088,6289,6289
1527970088,6289,6289
1527972246,6289,6289
1527972246,6289,6289
1527974168,6289,6289
1527974168,6289,6289
1527976569,6290,6290
1527976569,6290,6290
1527978968,6290,6290
1527978968,6290,6290
1527981368,6241,6241
1527981368,6241,6241
1527983526,6241,6241
1527983526,6241,6241
1527985927,6241,6241
1527985927,6241,6241
1527988326,6197,6197
1527988326,6197,6197
1527990727,6197,6197
1527990727,6197,6197
1527993143,6202,6202
1527993143,6202,6202
1527995528,6202,6202
1527995528,6202,6202
1527997927,6150,6150
1527997927,6150,6150
1528000328,6150,6150
1528000328,6150,6150
1528002728,6150,6150
1528002728,6150,6150
1528007763,6173,6173
1528013525,6180,6180
1528017362,6197,6197
1528021202,6222,6222
