DateTime,AddedIPs,RemovedIPs
1525911025,10,0
1525921818,0,14
1525997460,24,0
1526008221,0,20
1526011796,0,2
1526015412,1,0
1526029848,0,1
1526033402,2,0
1526040631,1,0
1526044243,0,3
1526051417,1,0
1526083826,24,0
1526087439,0,1
1526094643,1,8
1526105436,2,0
1526116208,0,2
1526137797,0,1
1526152232,2,0
1526159397,3,0
1526163023,0,2
1526166614,2,0
1526170236,15,2
1526177412,0,2
1526181016,0,9
1526184594,0,1
1526220617,2,0
1526227820,2,0
1526231395,0,2
1526238559,0,2
1526256597,13,0
1526267411,0,23
1526271011,1,0
1526306987,0,0
1526314229,0,1
1526321413,1,0
1526343019,10,0
1526353814,0,22
1526360997,0,1
1526364608,1,0
1526386194,0,1
1526389825,1,0
1526404247,0,1
1526422221,1,0
1526429463,16,0
1526440192,0,14
1526443784,1,0
1526461793,0,1
1526468986,1,0
1526483381,0,1
1526486995,1,0
1526515824,7,0
1526519388,1,1
1526526635,0,13
1526530189,1,0
1526544578,1,0
1526555371,0,1
1526569811,0,1
1526573390,1,0
1526595020,0,1
1526602181,11,0
1526613028,0,11
1526616626,0,1
1526688631,8,0
1526692212,2,0
1526699414,0,16
1526706604,0,2
1526775047,7,0
1526785802,0,7
1526861454,16,0
1526868631,1,0
1526872223,0,11
1526947842,18,0
1526951431,1,0
1526955007,1,0
1526958643,1,8
1526962191,1,0
1526965797,1,1
1526969413,1,1
1526973013,1,0
1526976612,1,1
1526980198,1,2
1526983773,2,2
1526991042,1,2
1526994628,1,1
1526998237,1,1
1527001811,1,1
1527005401,1,0
1527009036,1,2
1527016212,2,0
1527019825,1,0
1527023394,2,2
1527026983,0,2
1527030634,1,1
1527034230,13,1
1527037777,1,0
1527041369,1,2
1527044995,3,7
1527048593,1,3
1527052211,2,1
1527055818,3,3
1527059397,0,1
1527062994,2,1
1527073821,1,2
1527081002,2,2
1527084581,2,2
1527088197,1,1
1527091810,1,1
1527095384,2,2
1527098995,1,1
1527106207,1,1
1527109777,1,2
1527113406,2,0
1527117022,0,1
1527120614,26,2
1527124229,4,1
1527127786,1,0
1527131405,2,19
1527134979,1,3
1527138598,2,2
1527142192,0,2
1527145790,3,1
1527149387,1,0
1527153008,2,2
1527156607,1,2
1527160172,2,3
1527163789,1,0
1527167371,1,2
1527170983,3,1
1527174607,2,1
1527178167,1,2
1527181804,0,1
1527185387,1,1
1527188982,2,1
1527192594,0,2
1527196188,2,2
1527199781,1,1
1527203420,1,0
1527207012,10,2
1527210635,1,1
1527214218,0,3
1527217825,1,19
1527221389,0,1
1527225019,1,2
1527228595,1,0
1527232202,0,1
1527235789,0,1
1527239384,2,0
1527242980,4,1
1527246594,1,0
1527253822,0,1
1527260999,1,2
1527264586,1,0
1527268192,0,1
1527271806,1,1
1527275433,0,1
1527278974,1,0
1527282592,1,1
1527286205,1,0
1527289828,0,1
1527293393,20,2
1527296995,0,0
1527300596,1,0
1527304200,0,13
1527307835,1,0
1527311390,0,1
1527314990,1,1
1527318564,1,1
1527322184,0,0
1527325763,0,0
1527329417,1,1
1527333000,0,0
1527336622,0,0
1527340222,0,0
1527343812,0,1
1527347417,1,0
1527350985,1,0
1527354624,0,1
1527358197,1,1
1527361780,0,0
1527365403,0,0
1527369024,1,1
1527372598,1,1
1527376203,1,0
1527379782,18,1
1527383395,0,1
1527386992,0,1
1527390598,0,23
1527394216,0,0
1527397781,0,0
1527401396,0,1
1527466179,12,0
1527477008,0,8
1527491428,1,0
1527516627,0,1
1527552625,15,0
1527563449,0,18
1527621038,1,0
1527638999,21,0
1527642615,1,1
1527649816,0,20
1527725493,21,0
1527728976,1,0
1527736245,1,11
1527739810,1,3
1527747005,1,1
1527768608,1,0
1527772221,0,1
1527775816,0,1
1527786622,1,1
1527793816,1,0
1527797400,1,0
1527801025,1,1
1527804625,0,1
1527808228,0,1
1527811838,19,1
1527815474,1,0
1527822634,1,15
1527829862,1,1
1527833458,1,0
1527837037,1,0
1527840657,1,1
1527844244,1,1
1527847858,0,1
1527855068,0,1
1527869455,1,1
1527876644,1,1
1527880257,1,0
1527887476,0,1
1527891050,1,1
1527898304,17,0
1527901861,0,1
1527905472,1,0
1527909073,0,22
1527912666,1,0
1527916262,1,1
1527919847,1,1
1527923450,0,1
1527927072,0,0
1527930658,0,0
1527934255,1,1
1527937857,0,1
1527941436,0,0
1527945059,0,0
1527948642,1,0
1527952239,1,0
1527955847,0,1
1527959448,0,1
1527963039,1,0
1527966651,0,0
1527970261,0,1
1527973851,0,0
1527977451,1,0
1527981063,1,1
1527984676,14,1
1527988231,0,0
1527991807,0,1
1527995439,0,22
1527999025,0,0
1528002614,0,0
