DateTime,Entries,UniqueIPs
1527030148,5,5
1527031976,6,6
1527037976,6,6
1527039898,7,7
1527041806,8,8
1527043722,7,7
1527045636,9,9
1527047589,11,11
1527051419,13,13
1527053330,23,23
1527057170,25,25
1527062942,26,26
1527070619,27,27
1527074934,29,29
1527076946,30,30
1527078769,32,32
1527080686,33,33
1527084803,36,36
1527086668,38,38
1527090511,40,40
1527094616,41,41
1527096505,42,42
1527100354,41,41
1527104204,42,42
1527108026,43,43
1527111909,44,44
1527115975,45,45
1527123731,45,45
1527125579,44,44
1527127933,45,45
1527129856,46,46
1527131791,44,44
1527133968,42,42
1527137814,41,41
1527139768,33,33
1527141715,34,34
1527143675,32,32
1527148143,34,34
1527150050,33,33
1527152024,34,34
1527153868,35,35
1527155807,37,37
1527157724,36,36
1527161740,34,34
1527163970,35,35
1527165883,33,33
1527167784,32,32
1527169943,31,31
1527171880,30,30
1527174157,28,28
1527175973,26,26
1527177969,27,27
1527179818,29,29
1527181860,29,29
1527183864,32,32
1527190117,33,33
1527192100,35,35
1527193951,38,38
1527195881,39,39
1527197804,38,38
1527201939,39,39
1527203790,38,38
1527205893,41,41
1527207876,42,42
1527210105,43,43
1527211960,44,44
1527213902,43,43
1527215819,43,43
1527219640,44,44
1527223481,44,44
1527225409,42,42
1527227297,46,46
1527233100,46,46
1527234977,45,45
1527236955,46,46
1527238891,45,45
1527240929,44,44
1527242909,42,42
1527250574,41,41
1527253166,43,43
1527258977,44,44
1527262846,45,45
1527265079,45,45
1527268932,42,42
1527270766,41,41
1527272805,40,40
1527276737,40,40
1527278660,37,37
1527280528,37,37
1527282495,36,36
1527284683,37,37
1527286593,36,36
1527289003,36,36
1527291354,33,33
1527295603,34,34
1527298160,33,33
1527298160,33,33
1527300906,33,33
1527300906,33,33
1527303224,33,33
1527303224,33,33
1527311244,31,31
1527311244,31,31
1527314164,26,26
1527314164,26,26
1527316673,26,26
1527316673,26,26
1527318583,25,25
1527320953,24,24
1527320953,24,24
1527322898,24,24
1527322898,24,24
1527325316,24,24
1527325316,24,24
1527327536,24,24
1527336893,25,25
1527336893,25,25
1527339161,23,23
1527339161,23,23
1527341650,23,23
1527341650,23,23
1527343544,24,24
1527343544,24,24
1527346510,25,25
1527346510,25,25
1527350718,25,25
1527352739,23,23
1527352739,23,23
1527355506,26,26
1527355506,26,26
1527358183,28,28
1527358183,28,28
1527361553,29,29
1527361553,29,29
1527369506,29,29
1527369506,29,29
1527372653,29,29
1527372653,29,29
1527375540,28,28
1527375540,28,28
1527378883,28,28
1527381326,28,28
1527381326,28,28
1527383944,29,29
1527383944,29,29
1527386917,30,30
1527389400,30,30
1527396090,30,30
1527396090,30,30
1527398012,30,30
1527400182,33,33
1527403971,34,34
1527405864,35,35
1527409699,35,35
1527411696,36,36
1527417397,37,37
1527419331,36,36
1527421223,37,37
1527423164,38,38
1527430821,37,37
1527432770,38,38
1527434668,40,40
1527436599,38,38
1527438504,39,39
1527442363,36,36
1527444282,35,35
1527446222,36,36
1527448128,35,35
1527451950,34,34
1527457706,35,35
1527460593,37,37
1527462518,37,37
1527464454,36,36
1527472137,37,37
1527474025,38,38
1527475993,37,37
1527479849,36,36
1527481700,38,38
1527483747,39,39
1527485570,38,38
1527489374,36,36
1527491315,35,35
1527493213,36,36
1527497079,35,35
1527498975,34,34
1527502834,34,34
1527506657,34,34
1527508593,33,33
1527516267,32,32
1527518175,32,32
1527520120,31,31
1527523891,29,29
1527525854,30,30
1527527797,28,28
1527531622,30,30
1527533537,30,30
1527545098,28,28
1527546994,29,29
1527548987,28,28
1527552792,30,30
1527556604,29,29
1527558517,27,27
1527560461,25,25
1527566196,24,24
1527568138,22,22
1527571994,20,20
1527573910,19,19
1527579654,18,18
1527583513,17,17
1527585389,18,18
1527591171,16,16
1527593060,15,15
1527598850,18,18
1527600742,19,19
1527604575,18,18
1527608429,20,20
1527613152,19,19
1527617061,19,19
1527618975,17,17
1527620902,16,16
1527628574,17,17
1527634334,16,16
1527636255,17,17
1527640092,15,15
1527645957,16,16
1527653540,18,18
1527659292,20,20
1527668892,22,22
1527672750,22,22
1527684490,22,22
1527686415,19,19
1527696104,17,17
1527702012,16,16
1527715456,15,15
1527721314,14,14
1527728910,15,15
1527730825,14,14
1527740425,12,12
1527744270,13,13
1527746194,9,9
1527753882,8,8
1527755793,7,7
1527757710,7,7
1527761560,9,9
1527773064,10,10
1527778907,9,9
1527780788,10,10
1527782667,11,11
1527790498,12,12
1527792310,13,13
1527794180,15,15
1527799957,16,16
1527801876,15,15
1527803797,16,16
1527806007,17,17
1527807874,18,18
1527809823,20,20
1527811713,21,21
1527813631,24,24
1527815562,24,24
1527817500,25,25
1527819393,32,32
1527825170,33,33
1527827075,34,34
1527830912,32,32
1527832904,33,33
1527846313,31,31
1527848193,31,31
1527855872,32,32
1527859705,31,31
1527867408,32,32
1527869348,32,32
1527875065,33,33
1527876976,32,32
1527878913,31,31
1527880815,29,29
1527888495,31,31
1527890544,30,30
1527895215,28,28
1527897161,30,30
1527899058,29,29
1527901300,30,30
1527903152,29,29
1527906981,24,24
1527910826,23,23
1527916440,24,24
1527918680,32,32
1527921137,32,32
1527923322,33,33
1527923322,33,33
1527926028,33,33
1527926028,33,33
1527928519,35,35
1527928519,35,35
1527933076,37,37
1527933076,37,37
1527935217,40,40
1527935217,40,40
1527937874,40,40
1527937874,40,40
1527940235,40,40
1527940235,40,40
1527942646,42,42
1527942646,42,42
1527944970,43,43
1527944970,43,43
1527947211,42,42
1527951394,42,42
1527951394,42,42
1527953721,38,38
1527956409,37,37
1527956409,37,37
1527958698,37,37
1527958698,37,37
1527961198,37,37
1527961198,37,37
1527965968,38,38
1527965968,38,38
1527968422,38,38
1527968422,38,38
1527970742,37,37
1527970742,37,37
1527972883,39,39
1527977290,39,39
1527984240,39,39
1527984240,39,39
1527991403,37,37
1527991403,37,37
1527993824,36,36
1527993824,36,36
1527996223,36,36
1527998615,36,36
1528001080,36,36
1528001080,36,36
1528005408,30,30
1528007362,29,29
1528009327,28,28
1528013061,27,27
1528014992,26,26
1528016899,25,25
1528020744,27,27
