DateTime,AddedIPs,RemovedIPs
1526434328,64,79
1526440083,137,130
1526447764,134,176
1526451605,97,70
1526457364,114,107
1526466004,120,108
1526471763,118,101
1526477525,81,64
1526481364,75,58
1526483283,61,71
1526489284,116,122
1526495042,90,66
1526500816,173,127
1526508482,107,166
1526514243,55,96
1526516166,105,79
1526521923,47,90
1526523843,79,79
1526529625,141,166
1526533444,72,88
1526537283,87,80
1526544966,112,100
1526550723,119,99
1526556484,70,63
1526559615,58,56
1526565363,127,107
1526572083,109,96
1526579763,136,112
1526585523,87,60
1526591283,126,132
1526598244,95,157
1526604244,131,168
1526611925,87,70
1526616723,149,192
1526620563,75,81
1526626323,138,123
1526632083,71,73
1526634966,62,65
1526640724,99,100
1526648883,132,98
1526654643,136,103
1526660643,71,81
1526666418,142,100
1526674083,133,117
1526679844,94,84
1526683923,107,163
1526690883,88,102
1526696643,113,144
1526702644,130,170
1526710323,154,119
1526716083,113,88
1526721845,123,94
1526729523,115,108
1526737443,70,60
1526741283,127,99
1526748964,108,101
1526755203,97,116
1526762883,66,79
1526764803,72,62
1526768643,74,81
1526776324,142,157
1526780404,113,127
1526788083,134,163
1526793842,63,86
1526797684,103,60
1526803442,52,55
1526805363,68,57
1526809204,72,53
1526814963,127,123
1526819052,68,56
1526825043,117,96
1526829122,76,61
1526834883,122,112
1526842563,117,105
1526848325,65,86
1526852166,79,63
1526857924,103,179
1526863683,121,159
1526871365,83,73
1526875221,55,89
1526879043,152,167
1526884804,87,68
1526888644,65,57
1526892483,111,93
1526900164,82,51
1526904963,99,111
1526910964,113,87
1526918642,123,122
1526922483,62,67
1526930643,137,118
1526934966,136,123
1526941205,68,133
1526946965,98,86
1526948885,77,93
1526952724,60,75
1526958484,123,129
1526964484,89,98
1526966644,71,83
1526972418,89,79
1526974564,84,58
1526978404,44,60
1526982243,73,61
1526984163,67,71
1526991364,112,96
1526997366,112,120
1527003364,63,54
1527005283,80,60
1527009123,71,83
1527017286,91,84
1527019220,79,78
1527023524,163,123
1527029284,75,116
1527031204,63,101
1527035043,96,92
1527038884,112,150
1527046564,79,90
1527050403,92,94
1527054244,65,84
1527058085,174,105
1527065766,99,126
1527074884,123,96
1527077764,93,64
1527081604,74,84
1527087621,126,105
1527095284,146,128
1527099363,86,85
1527107045,96,76
1527108964,130,156
1527115923,114,181
1527123617,140,166
1527127684,80,76
1527133443,68,92
1527137283,162,183
1527144964,143,134
1527150964,87,56
1527152883,87,70
1527156724,48,54
1527162483,126,126
1527170164,148,114
1527175925,79,73
1527179764,91,73
1527181688,67,77
1527189604,153,108
1527195364,127,144
1527202323,74,103
1527206164,62,94
1527210483,145,198
1527214324,70,76
1527220082,153,171
1527227763,169,142
1527235442,122,101
1527243123,110,116
1527250814,119,92
1527253444,68,69
1527261364,68,74
1527265449,115,117
1527271220,135,117
1527278884,130,117
1527286563,124,139
1527288483,0,0
1527291851,0,0
1527296421,0,0
1527298566,78,84
1527301445,88,70
1527303846,0,0
1527306247,72,88
1527308886,130,171
1527311768,0,0
1527314886,0,0
1527317046,85,60
1527318966,0,0
1527321366,131,93
1527323526,0,0
1527325927,0,0
1527327847,127,96
1527330486,0,0
1527332648,0,0
1527335046,63,54
1527337465,69,76
1527339846,0,0
1527342007,0,0
1527344168,106,105
1527347046,0,0
1527348968,0,0
1527351368,129,111
1527353287,0,0
1527355939,0,0
1527358566,99,93
1527360486,0,0
1527363127,0,0
1527365767,122,113
1527368650,0,0
1527371766,0,0
1527374407,95,135
1527377766,0,0
1527380408,90,74
1527383046,0,0
1527386165,0,73
1527388566,0,0
1527391208,127,136
1527393366,0,0
1527395529,0,0
1527397446,127,170
1527399608,0,0
1527403446,124,87
1527409203,53,47
1527417844,117,89
1527421682,109,105
1527429363,120,96
1527435124,57,66
1527437042,69,67
1527440882,77,68
1527444722,82,66
1527452402,108,114
1527456244,75,79
1527462723,67,76
1527464884,125,176
1527472563,98,125
1527478323,63,76
1527484082,145,171
1527492003,158,105
1527495843,59,57
1527502563,115,115
1527506403,70,63
1527510244,80,53
1527516015,73,64
1527517923,64,66
1527523683,132,105
1527529443,136,125
1527537124,129,143
1527541686,82,89
1527547443,104,181
1527553204,89,95
1527560882,116,124
1527564723,149,170
1527572404,151,137
1527579123,76,66
1527582963,70,68
1527586803,94,98
1527594482,73,51
1527598323,64,71
1527600243,81,60
1527606963,124,112
1527613445,81,68
1527615364,128,133
1527623043,160,103
1527628803,64,76
1527632642,63,95
1527638422,141,171
1527644164,50,84
1527649923,137,151
1527655683,152,164
1527661444,90,79
1527665283,78,74
1527669124,67,56
1527672964,67,66
1527676804,74,51
1527680884,69,60
1527682814,69,93
1527686644,144,108
1527694323,67,63
1527696244,90,67
1527704163,126,129
1527709922,139,121
1527718563,121,136
1527724322,140,174
1527732243,107,173
1527738004,73,77
1527741842,151,160
1527751443,154,128
1527753363,74,78
1527760083,70,61
1527762004,64,62
1527768723,114,81
1527776402,120,98
1527782644,118,121
1527786484,75,67
1527792243,166,147
1527801844,124,121
1527805684,70,91
1527809764,186,198
1527817443,167,134
1527827044,143,168
1527830882,69,84
1527834722,100,78
1527838564,68,53
1527840483,82,54
1527846243,67,67
1527850082,61,73
1527852003,68,55
1527855842,79,76
1527859683,64,64
1527865443,131,107
1527873363,132,113
1527879123,122,124
1527884882,84,70
1527889682,104,134
1527896405,125,155
1527904083,58,81
1527906004,81,64
1527911764,143,180
1527914888,0,0
1527917051,0,0
1527923768,200,168
1527926420,0,0
1527929051,126,114
1527931208,0,0
1527934573,82,69
1527937219,0,0
1527939367,0,0
1527942034,132,102
1527944167,0,0
1527946567,0,0
1527948489,130,105
1527950648,0,0
1527953048,66,65
1527955448,0,0
1527958088,0,0
1527960487,103,116
1527962889,0,0
1527965287,64,60
1527967687,0,0
1527970088,127,117
1527972246,0,0
1527974168,0,0
1527976569,71,70
1527978968,0,0
1527981368,90,139
1527983526,0,0
1527985927,0,0
1527988326,113,157
1527990727,0,0
1527993143,71,66
1527995528,0,0
1527997927,143,195
1528000328,0,0
1528002728,0,0
1528007763,141,118
1528013525,103,96
1528017362,72,55
1528021202,75,50
