DateTime,AddedIPs,RemovedIPs
1526615804,0,1
1526617718,0,1
1526619703,0,3
1526625388,0,1
1526629238,1,0
1526631159,1,0
1526644606,0,2
1526647232,0,1
1526649381,0,1
1526651314,1,2
1526653245,2,0
1526655265,0,1
1526657315,1,0
1526663437,3,0
1526665452,0,1
1526667574,0,1
1526669532,0,1
1526678418,1,0
1526688075,0,1
1526701722,1,0
1526705564,1,0
1526715144,0,1
1526717083,0,1
1526718998,0,1
1526724750,1,0
1526738482,1,3
1526742283,0,1
1526749965,0,3
1526752027,1,0
1526759768,1,0
1526761688,1,0
1526763876,0,1
1526769577,1,0
1526789082,0,1
1526790992,0,1
1526802538,1,0
1526806353,4,0
1526812104,0,1
1526816223,1,0
1526818107,3,0
1526820026,1,0
1526825796,1,1
1526831567,1,0
1526833480,1,0
1526839296,0,1
1526844977,0,1
1526848839,1,1
1526852683,1,0
1526857489,0,1
1526863457,1,0
1526865384,1,0
1526880996,1,0
1526886788,1,0
1526888678,1,1
1526892564,0,4
1526896375,1,0
1526898301,1,0
1526902105,0,1
1526904101,0,3
1526907879,0,1
1526911861,0,1
1526915770,1,0
1526919904,0,2
1526927577,1,0
1526936694,1,0
1526938823,0,1
1526945092,2,0
1526948929,1,0
1526950910,1,2
1526964546,1,0
1526966704,0,1
1526972501,3,0
1526974621,0,2
1526984225,1,2
1526992407,2,0
1526996719,2,0
1526998597,1,0
1527002430,0,1
1527010125,1,0
1527014219,0,1
1527024188,0,1
1527031969,0,2
1527033895,1,0
1527036023,0,2
1527049482,0,1
1527059089,0,2
1527062937,1,0
1527068694,1,0
1527076888,0,1
1527080682,1,0
1527082605,2,0
1527084798,0,2
1527090506,0,1
1527092426,1,0
1527104198,2,0
1527109961,1,0
1527111903,1,0
1527113789,1,0
1527139762,0,4
1527148137,1,0
1527150033,0,1
1527152017,1,0
1527153862,1,0
1527155800,0,1
1527161734,1,0
1527167779,1,1
1527169938,0,2
1527171874,1,0
1527177964,1,0
1527179813,0,1
1527183859,1,0
1527190111,0,1
1527192983,0,1
1527196820,0,1
1527198753,0,1
1527206671,0,1
1527222029,1,0
1527225877,1,0
1527227804,1,0
1527234498,0,1
1527236657,1,0
1527239809,0,1
1527241726,0,2
1527247478,0,1
1527251322,1,0
1527253161,0,1
1527258972,0,1
1527262840,1,0
1527265074,1,1
1527268926,2,1
1527270760,2,0
1527272800,1,0
1527282491,3,0
1527284678,1,0
1527291348,0,0
1527293544,2,0
1527295597,0,0
1527298154,0,0
1527300895,1,0
1527303217,1,0
1527305653,0,0
1527311238,0,2
1527314158,1,1
1527316665,0,0
1527320946,2,0
1527322890,0,0
1527325309,1,0
1527327528,0,0
1527332278,0,0
1527336887,1,0
1527339155,0,1
1527341642,0,0
1527343538,0,0
1527346504,1,0
1527350711,0,2
1527352733,0,0
1527355500,0,3
1527358177,0,2
1527361547,1,0
1527364302,0,0
1527366743,0,0
1527369500,0,3
1527372647,0,1
1527375534,1,0
1527378875,14,0
1527381320,0,2
1527383937,0,0
1527389285,0,2
1527391904,0,0
1527393918,0,0
1527396084,0,0
1527398006,0,0
1527400173,0,1
1527402019,0,1
1527405861,0,1
1527407793,1,1
1527411686,0,1
1527421219,0,1
1527426993,1,0
1527432766,0,1
1527436596,1,0
1527442359,1,0
1527448123,0,1
1527453888,1,0
1527460589,1,0
1527462513,0,1
1527477880,1,0
1527489370,1,0
1527493208,0,1
1527495132,1,0
1527512477,0,1
1527522014,0,1
1527527792,2,0
1527535451,1,0
1527541284,1,1
1527545093,0,1
1527564309,0,1
1527575804,0,1
1527581536,1,1
1527593056,1,0
1527600739,1,0
1527604572,2,0
1527608425,1,0
1527613147,2,2
1527620898,0,1
1527624735,1,0
1527626673,0,1
1527630505,1,0
1527642970,1,0
1527648862,1,0
1527650668,1,0
1527654487,1,0
1527656459,1,0
1527667975,0,1
1527671800,1,0
1527680584,0,1
1527688328,0,1
1527690254,0,2
1527696078,0,1
1527698211,0,1
1527700023,0,1
1527705854,1,0
1527707769,1,0
1527709716,2,0
1527711610,0,1
1527717369,0,1
1527719287,1,0
1527726978,0,1
1527730819,2,0
1527736577,0,2
1527740419,1,1
1527742354,1,1
1527744265,1,0
1527753877,1,0
1527757704,0,1
1527767302,1,0
1527773059,1,0
1527774982,1,0
1527792303,2,1
1527794175,0,1
1527796133,0,2
1527806003,1,1
1527815557,0,1
1527817494,0,1
1527827071,0,1
1527829012,0,1
1527830908,1,1
1527836669,1,0
1527840521,0,1
1527842451,1,0
1527853948,0,1
1527859701,0,1
1527861696,1,1
1527863564,1,0
1527865467,0,1
1527878908,0,2
1527886573,1,0
1527890508,0,1
1527914405,0,0
1527916434,0,1
1527918673,0,0
1527921130,1,0
1527923310,0,1
1527933069,2,1
1527935211,1,0
1527937867,0,0
1527940228,0,0
1527942639,1,0
1527944964,0,0
1527949061,0,2
1527951387,0,0
1527953714,0,0
1527956402,0,0
1527958692,0,0
1527961191,0,0
1527963554,0,0
1527965962,0,0
1527968416,2,0
1527972876,1,1
1527974852,1,0
1527977283,0,0
1527979837,1,0
1527981993,0,0
1527984233,0,0
1527986637,0,0
1527991397,0,0
1527993818,0,0
1527996217,1,0
1527998608,0,0
1528001073,0,0
1528003375,0,0
1528007357,0,1
1528011136,1,1
1528018838,0,1
1528020739,0,1
